"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"AzureAD B2C SB","03162591-a791-414f-a287-f0eb00428e35","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"AzureOpenAIDevTest","e6e4eee3-737c-4509-8767-feda7bcf0b23","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AzureOpenAIProd","b0ca8456-67a9-4abb-a9fb-231d88558d41","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"AzureTrialUse","b750cdf6-12c6-4819-be8f-bc7a24edaaf8","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"BCL Scalable Vector Search","f7a6179c-2679-4e82-8c57-299b1e2f81bd","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"BCPEngineering","fb38e905-ffcc-441c-a858-55c22dc78937","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"BCPTSS-GK","cf4fdcb4-3bfb-43c7-a8e2-7f2b11099a58","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"BCTSS","b9fa30a4-07cc-4644-afe3-78b722b54ea4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"BIS Sandbox","f2ed4b8b-b447-4625-b4ad-273a57fd9e6b","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Bleh 02","bfc1e072-5b9b-4aa4-ab1e-df9e4b64f0e4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"BMGPBI","e07002cf-3228-473e-906e-af205da46404","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Bob","02321d1d-f552-4f8a-8c74-2596c008dee0","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","MSDNDevTest_2014-09-01","None"
"boi-iao-jira-dtm","202c1bcf-5a01-45d0-8007-731607ae47c7","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"boltzexecutive","be855b44-9fb1-47b8-bcf0-7ba72ad09e39","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"buc-smg-gos-prc-fcst","605f8cf3-12b9-42ba-91e4-bb413b2b7fd8","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"BYOK DEV Azure","7cee6141-f8b8-4f6e-86e9-7bcb6efcd8c0","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"BYOK DEV Azure 2","5727af8b-856b-41dd-b305-aa5aa34dde57","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CarPro","73f5d4ab-fb0c-4096-8194-28b8e79f4b6f","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"CASE AMERICAS AZURE ACCOUNT","ada14b05-5c94-4ce5-8543-f138b0a5bbdc","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"CB-Azure-Marketplace","f67b8680-1427-46e2-b62c-d46f7bbeb53c","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"cc-enabling","b71ebd82-a044-4397-8ca1-74217e9e4db6","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
