"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"cp-kv-iac-m7-ms","cp-cda-m7","9db22c64-21a9-4e10-a408-d2ab842dec3d","cp-rg-iac-m7-ms","westus","/subscriptions/9db22c64-21a9-4e10-a408-d2ab842dec3d/resourceGroups/cp-rg-iac-m7-ms/providers/Microsoft.KeyVault/vaults/cp-kv-iac-m7-ms","https://cp-kv-iac-m7-ms.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","90",,"True","Enabled","Not configured","created  by=poojax.marakala","Configured (1 setting(s))"
,"cp-cda-m7","9db22c64-21a9-4e10-a408-d2ab842dec3d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CoreValTools IGBN","983c2529-8ba2-48cb-a9b7-d382c64a87fa",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-sc-dev","3e5da20c-aa74-4cd5-8170-4fae4ff719ad",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
