"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data Analytics","3640808e-8519-4346-8091-6a71742dce84",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Corporate Services Data lake","97902420-b9c3-4700-a626-857ada8b120e",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-dev1","f8463fb6-e126-4e25-a6b9-0f2c551b9bf9",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
